#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
hCoV-19/Guinea/Conakry_IPG20000/2021, 2021.2424657534248, 0.000353, 0.000066
hCoV-19/Malaysia/IMR-WC61542/2021, 2021.0643835616438, 0.000254, 0.000008
hCoV-19/Slovenia/57159/2021, 2021.0835616438355, 0.000255, 0.000005
hCoV-19/Indonesia/JK-NIHRD-MI2101540/2021, 2021.0945205479452, 0.000322, 0.000069
hCoV-19/Switzerland/SO-ETHZ-510233/2021, 2021.1356164383562, 0.000322, 0.000060
hCoV-19/Jordan/Biolab004/2021, 2021.0780821917808, 0.000191, -0.000058
hCoV-19/Guinea/Conakry_IPG19020/2021, 2021.1849315068494, 0.000226, -0.000047
hCoV-19/Guinea/CERFIG-20117/2021, 2021.0, 0.000258, 0.000027
hCoV-19/Guinea/CERFIG-19710/2021, 2021.2068493150684, 0.000258, -0.000020
hCoV-19/Hungary/UD-P540/2021, 2021.0205479452054, 0.000152, -0.000084
hCoV-19/Slovenia/17-014261-KR/2021, 2021.1602739726027, 0.000322, 0.000055
hCoV-19/Slovenia/21-3415/2021, 2021.1109589041096, 0.000290, 0.000034
hCoV-19/Guinea/CERFIG-19289/2021, 2021.2013698630137, 0.000289, 0.000012
hCoV-19/Guinea/CERFIG-18047/2021, 2021.1712328767123, 0.000258, -0.000012
hCoV-19/Guinea/Conakry_IPG18138/2021, 2021.0972602739726, 0.000259, 0.000005
hCoV-19/Guinea/Conakry_IPG18005/2021, 2021.0890410958905, 0.000293, 0.000042
hCoV-19/Guinea/Conakry_IPG18068/2021, 2021.0917808219178, 0.000428, 0.000176
hCoV-19/Slovenia/55910/2021, 2021.0808219178082, 0.000120, -0.000129
hCoV-19/Romania/CT-361/2021, 2021.017808219178, 0.000220, -0.000015
hCoV-19/Singapore/207/2021, 2021.1301369863013, 0.000321, 0.000060
hCoV-19/Portugal/PT3219/2021, 2021.1082191780822, 0.000121, -0.000135
hCoV-19/Spain/AS-HUCA-232196582/2021, 2021.1356164383562, 0.000289, 0.000027
hCoV-19/Slovenia/90-005108-NM/2021, 2021.072602739726, 0.000123, -0.000124
hCoV-19/Singapore/228/2021, 2021.1438356164383, 0.000324, 0.000060
hCoV-19/Indonesia/KS-NIHRD-WGS00915/2021, 2021.0150684931507, 0.000224, -0.000011
hCoV-19/Spain/AS-232196765/2021, 2021.1356164383562, 0.000258, -0.000004
hCoV-19/Germany/NW-RKI-I-017539/2021, 2021.0835616438355, 0.000193, -0.000058
hCoV-19/Switzerland/BS-ETHZ-490319/2021, 2021.0972602739726, 0.000326, 0.000073
hCoV-19/Switzerland/ZH-ETHZ-470600/2021, 2021.058904109589, 0.000227, -0.000018
hCoV-19/Spain/MD-HGUGM-455017/2021, 2021.0205479452054, 0.000085, -0.000151
hCoV-19/Netherlands/NH-RIVM-15969/2021, 2021.1438356164383, 0.000185, -0.000079
hCoV-19/Curacao/CW-RIVM-13010/2021, 2021.0698630136985, 0.000219, -0.000028
hCoV-19/Israel/CVL-1684/2021, 2021.009589041096, 0.000425, 0.000192
hCoV-19/Belgium/CHUNamur1320359301/2021, 2021.168493150685, 0.000288, 0.000019
hCoV-19/Turkey/HSGM-GA70/2021, 2021.113698630137, 0.000388, 0.000131
hCoV-19/Norway/3367/2021, 2021.0972602739726, 0.000188, -0.000066
hCoV-19/Portugal/PT4053/2021, 2021.0698630136985, 0.000255, 0.000008
hCoV-19/Mexico/TAM-InDRE_244/2021, 2021.0698630136985, 0.000188, -0.000059
hCoV-19/Italy/CAM-AMES-13-57/2021, 2021.1438356164383, 0.000290, 0.000026
hCoV-19/Slovenia/48641/2021, 2021.072602739726, 0.000188, -0.000060
hCoV-19/Norway/3611/2021, 2021.1164383561643, 0.000189, -0.000069
hCoV-19/Norway/4494/2021, 2021.141095890411, 0.000255, -0.000008
hCoV-19/Switzerland/BE-ETHZ-471463/2021, 2021.0753424657535, 0.000054, -0.000194
hCoV-19/Australia/NSW-R0092/2021, 2021.1493150684933, 0.000390, 0.000125
hCoV-19/Indonesia/SS-NIHRD-WGS00427/2021, 2021.0123287671233, 0.000256, 0.000022
hCoV-19/Slovenia/5C-013554-KP/2021, 2021.1657534246576, 0.000323, 0.000054
hCoV-19/Slovenia/5C-014740-KP/2021, 2021.182191780822, 0.000223, -0.000049
hCoV-19/Croatia/HRV000_140/2021, 2021.0863013698631, 0.000156, -0.000094
hCoV-19/Singapore/95/2021, 2021.058904109589, 0.000224, -0.000020
hCoV-19/Hungary/UD-S51/2021, 2021.0205479452054, 0.000092, -0.000144
hCoV-19/Kosovo/ChVir23121/2021, 2021.0123287671233, 0.000226, -0.000008
hCoV-19/Beijing/IVDC-04/2021, 2021.045205479452, 0.000161, -0.000080
hCoV-19/Beijing/IVDC-05/2021, 2021.045205479452, 0.000228, -0.000014
hCoV-19/France/ARA-HCL021038043601/2021, 2021.154794520548, 0.000228, -0.000038
hCoV-19/Mexico/ZAC-INER-IMSS-00050/2021, 2021.1219178082192, 0.000297, 0.000038
hCoV-19/France/ARA-HCL021023128801/2021, 2021.0780821917808, 0.000263, 0.000014
hCoV-19/Poland/Mazowieckie_MWB_221/2021, 2021.058904109589, 0.000191, -0.000054
hCoV-19/Guinea/Conakry_21193/2021, 2021.354794520548, 0.000263, -0.000049
hCoV-19/Guinea/Conakry_21225/2021, 2021.3575342465754, 0.000299, -0.000014
hCoV-19/Poland/NIPH-NIH_ECDC-669/2021, 2021.1356164383562, 0.000228, -0.000034
hCoV-19/Portugal/PT2757/2021, 2021.0342465753424, 0.000127, -0.000112
hCoV-19/Monaco/HCL021025809501/2021, 2021.0945205479452, 0.000160, -0.000093
hCoV-19/Brazil/SP-1848/2021, 2021.1082191780822, 0.000194, -0.000062
hCoV-19/Spain/CT-HUVH-70367/2021, 2021.0863013698631, 0.000463, 0.000212
hCoV-19/Ireland/KY-NVRL-e84IRL68887/2021, 2021.0753424657535, 0.000330, 0.000082
hCoV-19/USA/GA-CDC-STM-000008690/2021, 2021.0863013698631, 0.000231, -0.000020
hCoV-19/Belgium/ULG-12259/2021, 2021.0671232876712, 0.000397, 0.000150
hCoV-19/Curacao/CW-RIVM-15639/2021, 2021.1328767123289, 0.000330, 0.000069
hCoV-19/France/ARA-HCL021022738501/2021, 2021.0945205479452, 0.000264, 0.000011
hCoV-19/Guadeloupe/IPP04221/2021, 2021.127397260274, 0.000299, 0.000039
hCoV-19/Belarus/MI-RRCEM-Sars_Cov_Vis_68/2021, 2021.1465753424657, 0.000300, 0.000035
hCoV-19/Ghana/WACCBIP-GS198/2021, 2021.0397260273974, 0.000334, 0.000094
hCoV-19/Ghana/WACCBIP-GS315/2021, 2021.0342465753424, 0.000268, 0.000029
hCoV-19/Ghana/WACCBIP-GS404/2021, 2021.1082191780822, 0.000268, 0.000012
hCoV-19/Australia/WA637/2021, 2021.195890410959, 0.000265, -0.000011
hCoV-19/USA/CO-CDPHE-2100478807/2021, 2021.1438356164383, 0.000297, 0.000033
hCoV-19/Vietnam/HCMC-05040-01/2021, 2021.0808219178082, 0.000402, 0.000152
hCoV-19/Singapore/8/2021, 2021.0150684931507, 0.000299, 0.000064
hCoV-19/Singapore/62/2021, 2021.0397260273974, 0.000299, 0.000059
hCoV-19/Bulgaria/21BG-EU_000250_Pl3/2021, 2021.1246575342466, 0.000333, 0.000073
hCoV-19/Latvia/347/2021, 2021.072602739726, 0.000264, 0.000017
hCoV-19/Latvia/609/2021, 2021.0698630136985, 0.000332, 0.000084
hCoV-19/Poland/Pomorskie_MWB_304/2021, 2021.1465753424657, 0.000332, 0.000067
hCoV-19/Poland/NIPH-NIH-56/2021, 2021.0616438356165, 0.000298, 0.000053
hCoV-19/Poland/Pomorskie_MWB_164/2021, 2021.0780821917808, 0.000233, -0.000016
hCoV-19/Norway/1793/2021, 2021.0671232876712, 0.000299, 0.000053
hCoV-19/Singapore/183/2021, 2021.113698630137, 0.000295, 0.000038
hCoV-19/Germany/BW-FR0482/2021, 2021.0643835616438, 0.000129, -0.000117
hCoV-19/Portugal/PT2456/2021, 2021.045205479452, 0.000129, -0.000113
hCoV-19/Switzerland/BE-ETHZ-481495/2021, 2021.009589041096, 0.000265, 0.000031
hCoV-19/Philippines/PH-PGC-02225/2021, 2021.0205479452054, 0.000199, -0.000037
hCoV-19/Philippines/PH-PGC-02826/2021, 2021.0561643835617, 0.000232, -0.000012
hCoV-19/Spain/MC-ISCIII-210748/2021, 2021.058904109589, 0.000199, -0.000046
hCoV-19/Belgium/rega-3298/2021, 2021.127397260274, 0.000232, -0.000028
hCoV-19/Turkey/HSGM-3303/2021, 2021.1054794520549, 0.000266, 0.000010
hCoV-19/Philippines/PH-PGC-02730/2021, 2021.0424657534247, 0.000232, -0.000009
hCoV-19/Scotland/QEUH-12C05CC/2021, 2021.1301369863013, 0.000267, 0.000006
hCoV-19/Portugal/PT3894/2021, 2021.1219178082192, 0.000133, -0.000126
hCoV-19/Ireland/D-NVRL-21IRL20531/2021, 2021.058904109589, 0.000308, 0.000063
hCoV-19/Singapore/9/2021, 2021.0123287671233, 0.000166, -0.000068
hCoV-19/Peru/LIM-INS-738/2021, 2021.031506849315, 0.000166, -0.000073
hCoV-19/Ireland/D-NVRL-21IRL22176/2021, 2021.1027397260275, 0.000236, -0.000019
hCoV-19/Guinea/GUI0076/2021, 2021.0972602739726, 0.000163, -0.000090
hCoV-19/Guinea/CERFIG-19007/2021, 2021.195890410959, 0.000196, -0.000079
hCoV-19/Guinea/CERFIG-19463/2021, 2021.2013698630137, 0.000131, -0.000146
hCoV-19/Guinea/GUI0078/2021, 2021.0972602739726, 0.000199, -0.000054
hCoV-19/Guinea/CERFIG-21653/2021, 2021.2616438356165, 0.000300, 0.000009
hCoV-19/Guinea/Conakry_IPG18891/2021, 2021.1712328767123, 0.000200, -0.000070
hCoV-19/Guinea/Conakry_IPG17766/2021, 2021.0698630136985, 0.000167, -0.000080
hCoV-19/Guinea/Conakry_IPG19299/2021, 2021.204109589041, 0.000134, -0.000144
hCoV-19/Guinea/CERFIG-19469/2021, 2021.2013698630137, 0.000235, -0.000042
hCoV-19/Guinea/CERFIG-19205/2021, 2021.195890410959, 0.000136, -0.000140
hCoV-19/Guinea/CERFIG-21708/2021, 2021.0, 0.000203, -0.000028
hCoV-19/Guinea/Conakry_IPG18570/2021, 2021.1438356164383, 0.000201, -0.000063
hCoV-19/Guinea/LFHVG-G0333/2021, 2021.2150684931507, 0.000268, -0.000012
hCoV-19/Guinea/Conakry_IPG18870/2021, 2021.1712328767123, 0.000236, -0.000034
hCoV-19/Guinea/GUI0056/2021, 2021.1301369863013, 0.000204, -0.000057
hCoV-19/Guinea/GUI0084/2021, 2021.0917808219178, 0.000204, -0.000048
hCoV-19/Guinea/Conakry_21545/2021, 2021.4013698630138, 0.000440, 0.000117
hCoV-19/Guinea/LFHVG-G0332/2021, 2021.2123287671234, 0.000236, -0.000043
hCoV-19/Guinea/CERFIG-20728/2021, 2021.0, 0.000203, -0.000028
hCoV-19/Guinea/CERFIG-20290/2021, 2021.0, 0.000171, -0.000060
hCoV-19/Guinea/CERFIG-24622/2021, 2021.4260273972602, 0.000371, 0.000042
hCoV-19/Guinea/CERFIG-24621/2021, 2021.4260273972602, 0.000333, 0.000005
hCoV-19/Guinea/CERFIG-21399/2021, 2021.0, 0.000269, 0.000038
hCoV-19/Guinea/CERFIG-20279/2021, 2021.0, 0.000303, 0.000071
hCoV-19/Guinea/CERFIG-19215/2021, 2021.2013698630137, 0.000269, -0.000008
hCoV-19/Guinea/CERFIG-20789/2021, 2021.0, 0.000169, -0.000062
hCoV-19/Guinea/Conakry_IPG19446/2021, 2021.2095890410958, 0.000169, -0.000110
hCoV-19/Guinea/LFHVG-G0335/2021, 2021.2287671232878, 0.000169, -0.000114
hCoV-19/Guinea/Conakry_IPG19241/2021, 2021.2013698630137, 0.000170, -0.000107
hCoV-19/Guinea/CERFIG-00001/2021, 2021.2205479452055, 0.000172, -0.000110
hCoV-19/Guinea/CERFIG-18735/2021, 2021.190410958904, 0.000341, 0.000066
hCoV-19/Guinea/CERFIG-21114/2021, 2021.0, 0.000238, 0.000007
hCoV-19/Guinea/Conakry_21846/2021, 2021.4342465753425, 0.000273, -0.000057
hCoV-19/Guinea/CERFIG-20619/2021, 2021.0, 0.000306, 0.000075
hCoV-19/Guinea/Conakry_IPG18289/2021, 2021.113698630137, 0.000141, -0.000117
hCoV-19/Guinea/CERFIG-14024/2021, 2021.0, 0.000142, -0.000090
hCoV-19/Guinea/CERFIG-21324/2021, 2021.0, 0.000209, -0.000022
hCoV-19/Guinea/CERFIG-19940/2021, 2021.0, 0.000209, -0.000022
hCoV-19/Finland/HEL-14-346/2021, 2021.058904109589, 0.000196, -0.000049
hCoV-19/Croatia/HRV000_236/2021, 2021.1027397260275, 0.000267, 0.000012
hCoV-19/Latvia/847/2021, 2021.1438356164383, 0.000266, 0.000003
hCoV-19/Brazil/SP-1774/2021, 2021.0123287671233, 0.000232, -0.000002
hCoV-19/Australia/NSW1448/2021, 2021.0205479452054, 0.000422, 0.000186
hCoV-19/Turkey/HSGM-GA75/2021, 2021.113698630137, 0.000133, -0.000125
hCoV-19/Norway/5345/2021, 2021.1602739726027, 0.000199, -0.000069
hCoV-19/Brazil/MG-LBI28/2021, 2021.0232876712328, 0.000236, -0.000001
hCoV-19/Poland/PL_P30/2021, 2021.0342465753424, 0.000233, -0.000006
hCoV-19/USA/FL-CDC-STM-000003658/2021, 2021.0479452054794, 0.000300, 0.000058
hCoV-19/Ireland/D-NVRL-21IRL20793/2021, 2021.058904109589, 0.000167, -0.000078
hCoV-19/Bulgaria/21BG-EU_000122_Pl2/2021, 2021.0698630136985, 0.000202, -0.000045
hCoV-19/Ireland/KY-NVRL-83IRL90317/2021, 2021.0479452054794, 0.000234, -0.000008
hCoV-19/Croatia/HRV000_17/2021, 2021.0780821917808, 0.000400, 0.000151
hCoV-19/Croatia/HRV000_206/2021, 2021.0534246575342, 0.000335, 0.000091
hCoV-19/Croatia/HRV000_273/2021, 2021.1109589041096, 0.000268, 0.000012
hCoV-19/Australia/WA619/2021, 2021.0561643835617, 0.000135, -0.000109
hCoV-19/Sweden/SE00189100/2021, 2021.0698630136985, 0.000421, 0.000174
hCoV-19/England/CAMC-12D3FD7/2021, 2021.1383561643836, 0.000370, 0.000107
hCoV-19/Bulgaria/21BG-EU_000295_Pl4/2021, 2021.0753424657535, 0.000338, 0.000090
hCoV-19/Switzerland/ZH-UZH-IMV-3ba3d605/2021, 2021.072602739726, 0.000170, -0.000078
hCoV-19/Luxembourg/LNS9885747/2021, 2021.0150684931507, 0.000170, -0.000065
hCoV-19/Guadeloupe/IPP04223/2021, 2021.127397260274, 0.000237, -0.000023
hCoV-19/Singapore/206/2021, 2021.127397260274, 0.000237, -0.000023
hCoV-19/Netherlands/UT-RIVM-12712/2021, 2021.0808219178082, 0.000306, 0.000056
hCoV-19/Italy/ABR-IZSGC-79480/2021, 2021.1109589041096, 0.000272, 0.000016
hCoV-19/USA/CA-CDC-STM-0000025-C02/2021, 2021.0287671232877, 0.000201, -0.000037
hCoV-19/Singapore/143/2021, 2021.0890410958905, 0.000202, -0.000050
hCoV-19/Mexico/NLE-InDRE_240/2021, 2021.0479452054794, 0.000203, -0.000039
hCoV-19/Mexico/TAM-InDRE_236/2021, 2021.0342465753424, 0.000204, -0.000035
hCoV-19/Mexico/NLE-InDRE_238/2021, 2021.0479452054794, 0.000204, -0.000038
hCoV-19/Morocco/FMP80/2021, 2021.0205479452054, 0.000168, -0.000067
hCoV-19/Estonia/149143/2021, 2021.0561643835617, 0.000269, 0.000025
hCoV-19/Estonia/15620950/2021, 2021.127397260274, 0.000371, 0.000110
hCoV-19/Estonia/16190087/2021, 2021.127397260274, 0.000270, 0.000010
hCoV-19/Kosovo/ChVir23131/2021, 2021.0150684931507, 0.000203, -0.000032
hCoV-19/Ireland/C-NVRL-e85IRL45709/2021, 2021.1054794520549, 0.000236, -0.000019
hCoV-19/Norway/2760/2021, 2021.0479452054794, 0.000171, -0.000071
hCoV-19/Ireland/G-NVRL-ec85IRL41638/2021, 2021.1054794520549, 0.000406, 0.000151
hCoV-19/Slovenia/MB08-25956/2021, 2021.0671232876712, 0.000307, 0.000061
hCoV-19/Ireland/TA-NVRL-86IRL35346/2021, 2021.1082191780822, 0.000342, 0.000086
hCoV-19/Ireland/CN-NVRL-21IRL45294/2021, 2021.0479452054794, 0.000308, 0.000066
hCoV-19/Turkey/HSGM-2300/2021, 2021.0753424657535, 0.000409, 0.000161
hCoV-19/Germany/NW-RKI-I-027662/2021, 2021.1054794520549, 0.000309, 0.000054
hCoV-19/Estonia/C010854/2021, 2021.1109589041096, 0.000444, 0.000187
hCoV-19/Norway/1748/2021, 2021.0506849315068, 0.000276, 0.000033
NODE_0000219, 2019.983937, 0.000000, 0.0
NODE_0000157, 2020.068724, 0.000019, 0.0
NODE_0000158, 2020.077507, 0.000021, 0.0
NODE_0000159, 2020.373264, 0.000089, 0.0
NODE_0000160, 2020.657053, 0.000153, 0.0
NODE_0000161, 2020.661448, 0.000154, 0.0
NODE_0000162, 2020.665842, 0.000155, 0.0
NODE_0000163, 2021.254286, 0.000289, 0.0
NODE_0000164, 2021.258681, 0.000290, 0.0
NODE_0000165, 2021.263075, 0.000291, 0.0
NODE_0000156, 2020.194621, 0.000048, 0.0
NODE_0000166, 2020.339680, 0.000081, 0.0
NODE_0000167, 2020.344075, 0.000082, 0.0
NODE_0000168, 2020.490399, 0.000115, 0.0
NODE_0000169, 2020.932030, 0.000216, 0.0
NODE_0000170, 2021.078354, 0.000249, 0.0
NODE_0000171, 2020.344075, 0.000082, 0.0
NODE_0000172, 2020.490399, 0.000115, 0.0
NODE_0000173, 2020.636723, 0.000149, 0.0
NODE_0000174, 2020.783047, 0.000182, 0.0
NODE_0000175, 2020.787442, 0.000183, 0.0
NODE_0000176, 2020.791836, 0.000184, 0.0
NODE_0000177, 2020.791836, 0.000184, 0.0
NODE_0000178, 2020.796231, 0.000185, 0.0
NODE_0000179, 2020.942555, 0.000218, 0.0
NODE_0000180, 2020.946950, 0.000219, 0.0
NODE_0000181, 2020.796231, 0.000185, 0.0
NODE_0000182, 2020.800625, 0.000186, 0.0
NODE_0000183, 2020.800625, 0.000186, 0.0
NODE_0000184, 2020.805020, 0.000187, 0.0
NODE_0000185, 2020.809415, 0.000188, 0.0
NODE_0000186, 2020.813809, 0.000189, 0.0
NODE_0000187, 2020.955739, 0.000221, 0.0
NODE_0000188, 2020.960133, 0.000222, 0.0
NODE_0000189, 2021.401448, 0.000323, 0.0
NODE_0000190, 2020.494794, 0.000116, 0.0
NODE_0000191, 2020.499188, 0.000117, 0.0
NODE_0000192, 2020.645512, 0.000151, 0.0
NODE_0000193, 2020.658505, 0.000153, 0.0
NODE_0000194, 2020.804829, 0.000187, 0.0
NODE_0000195, 2020.809224, 0.000188, 0.0
NODE_0000196, 2020.807952, 0.000188, 0.0
NODE_0000197, 2020.820568, 0.000190, 0.0
NODE_0000198, 2020.970039, 0.000224, 0.0
NODE_0000199, 2021.115171, 0.000257, 0.0
NODE_0000200, 2020.499188, 0.000117, 0.0
NODE_0000201, 2020.503583, 0.000118, 0.0
NODE_0000202, 2020.515133, 0.000121, 0.0
NODE_0000203, 2021.250936, 0.000288, 0.0
NODE_0000204, 2021.107978, 0.000256, 0.0
NODE_0000205, 2021.112372, 0.000257, 0.0
NODE_0000206, 2021.116767, 0.000258, 0.0
NODE_0000207, 2021.268218, 0.000292, 0.0
NODE_0000208, 2020.503583, 0.000118, 0.0
NODE_0000209, 2020.507977, 0.000119, 0.0
NODE_0000210, 2020.507977, 0.000119, 0.0
NODE_0000211, 2020.512372, 0.000120, 0.0
NODE_0000212, 2020.516767, 0.000121, 0.0
NODE_0000213, 2020.521161, 0.000122, 0.0
NODE_0000214, 2020.525556, 0.000123, 0.0
NODE_0000215, 2020.671880, 0.000157, 0.0
NODE_0000216, 2020.529950, 0.000124, 0.0
NODE_0000217, 2020.534345, 0.000125, 0.0
NODE_0000218, 2020.975772, 0.000226, 0.0
NODE_0000154, 2020.203404, 0.000050, 0.0
NODE_0000155, 2020.207798, 0.000051, 0.0
NODE_0000148, 2020.207798, 0.000051, 0.0
NODE_0000149, 2020.212193, 0.000052, 0.0
NODE_0000150, 2020.216587, 0.000053, 0.0
NODE_0000151, 2021.245793, 0.000287, 0.0
NODE_0000152, 2020.362911, 0.000086, 0.0
NODE_0000153, 2020.367306, 0.000087, 0.0
NODE_0000143, 2020.212193, 0.000052, 0.0
NODE_0000144, 2020.216587, 0.000053, 0.0
NODE_0000145, 2020.362911, 0.000086, 0.0
NODE_0000146, 2020.220982, 0.000054, 0.0
NODE_0000147, 2020.516650, 0.000121, 0.0
NODE_0000142, 2020.216587, 0.000053, 0.0
NODE_0000140, 2020.220982, 0.000054, 0.0
NODE_0000141, 2020.666003, 0.000155, 0.0
NODE_0000138, 2020.225377, 0.000055, 0.0
NODE_0000139, 2020.961071, 0.000222, 0.0
NODE_0000129, 2020.229771, 0.000056, 0.0
NODE_0000130, 2020.376095, 0.000089, 0.0
NODE_0000131, 2020.380490, 0.000090, 0.0
NODE_0000132, 2020.384885, 0.000091, 0.0
NODE_0000133, 2020.389279, 0.000092, 0.0
NODE_0000134, 2020.393674, 0.000093, 0.0
NODE_0000135, 2020.687135, 0.000160, 0.0
NODE_0000136, 2020.398068, 0.000094, 0.0
NODE_0000137, 2020.402463, 0.000095, 0.0
NODE_0000128, 2020.234166, 0.000057, 0.0
NODE_0000126, 2020.238560, 0.000058, 0.0
NODE_0000127, 2020.986879, 0.000228, 0.0
NODE_0000122, 2020.242955, 0.000059, 0.0
NODE_0000123, 2020.389279, 0.000092, 0.0
NODE_0000124, 2020.393674, 0.000093, 0.0
NODE_0000125, 2020.539998, 0.000127, 0.0
NODE_0000099, 2020.247350, 0.000060, 0.0
NODE_0000100, 2020.251744, 0.000061, 0.0
NODE_0000101, 2020.398068, 0.000094, 0.0
NODE_0000102, 2020.547096, 0.000128, 0.0
NODE_0000103, 2020.693420, 0.000161, 0.0
NODE_0000104, 2020.697814, 0.000162, 0.0
NODE_0000105, 2020.993137, 0.000230, 0.0
NODE_0000106, 2020.997531, 0.000231, 0.0
NODE_0000107, 2021.001926, 0.000232, 0.0
NODE_0000108, 2021.006320, 0.000233, 0.0
NODE_0000109, 2021.010715, 0.000234, 0.0
NODE_0000110, 2021.015110, 0.000235, 0.0
NODE_0000111, 2020.697814, 0.000162, 0.0
NODE_0000112, 2020.702209, 0.000163, 0.0
NODE_0000113, 2020.848533, 0.000197, 0.0
NODE_0000114, 2020.852928, 0.000198, 0.0
NODE_0000115, 2021.292787, 0.000298, 0.0
NODE_0000116, 2020.706604, 0.000164, 0.0
NODE_0000117, 2020.852928, 0.000198, 0.0
NODE_0000118, 2020.999252, 0.000231, 0.0
NODE_0000119, 2020.852928, 0.000198, 0.0
NODE_0000120, 2020.999252, 0.000231, 0.0
NODE_0000121, 2021.003646, 0.000232, 0.0
NODE_0000083, 2020.251744, 0.000061, 0.0
NODE_0000084, 2020.398068, 0.000094, 0.0
NODE_0000085, 2020.544392, 0.000128, 0.0
NODE_0000086, 2020.402463, 0.000095, 0.0
NODE_0000087, 2020.406858, 0.000096, 0.0
NODE_0000088, 2020.411252, 0.000097, 0.0
NODE_0000089, 2020.557576, 0.000131, 0.0
NODE_0000090, 2020.411252, 0.000097, 0.0
NODE_0000091, 2020.415647, 0.000098, 0.0
NODE_0000092, 2020.561971, 0.000132, 0.0
NODE_0000093, 2020.561971, 0.000132, 0.0
NODE_0000094, 2020.415647, 0.000098, 0.0
NODE_0000095, 2020.420041, 0.000099, 0.0
NODE_0000096, 2020.420041, 0.000099, 0.0
NODE_0000097, 2020.566366, 0.000133, 0.0
NODE_0000098, 2020.570760, 0.000134, 0.0
NODE_0000037, 2020.256139, 0.000062, 0.0
NODE_0000036, 2020.402463, 0.000095, 0.0
NODE_0000035, 2020.548787, 0.000129, 0.0
NODE_0000034, 2020.553182, 0.000130, 0.0
NODE_0000002, 2020.557576, 0.000131, 0.0
NODE_0000001, 2020.561971, 0.000132, 0.0
NODE_0000000, 2020.566366, 0.000133, 0.0
NODE_0000003, 2020.561971, 0.000132, 0.0
NODE_0000004, 2020.566366, 0.000133, 0.0
NODE_0000005, 2020.566366, 0.000133, 0.0
